pairid,ident1,project1,file1,method1,ident2,project2,file2,method2,sim,sim_tok
0,17486,guava,repos/guava/guava-tests/benchmark/com/google/common/util/concurrent/MonitorBasedPriorityBlockingQueue.java,MonitorBasedPriorityBlockingQueue.toArray(),28468,openjdk11,repos/openjdk11/src/java.base/share/classes/java/util/concurrent/PriorityBlockingQueue.java,PriorityBlockingQueue.toArray(),1.000000000000001,0.9210526315789473
1,208,caffeine,repos/caffeine/caffeine/src/jmh/java/com/github/benmanes/caffeine/cache/impl/ConcurrentHashMapV7.java,ConcurrentHashMapV7.isEmpty(),47819,openjdk11,repos/openjdk11/src/jdk.hotspot.agent/share/classes/sun/jvm/hotspot/debugger/LongHashMap.java,LongHashMap.isEmpty(),1.0,0.03658536585365857
2,3260,commons-lang,repos/commons-lang/src/main/java/org/apache/commons/lang3/math/Fraction.java,Fraction.floatValue(),4482,commons-math,repos/commons-math/src/main/java/org/apache/commons/math4/fraction/BigFraction.java,BigFraction.floatValue(),1.0000000000000004,0.1428571428571429
3,552,checkstyle,repos/checkstyle/src/main/java/com/puppycrawl/tools/checkstyle/gui/TreeTableCellRenderer.java,"TreeTableCellRenderer.getTableCellRendererComponent(JTable, Object, boolean, boolean, int, int)",48125,openjdk11,repos/openjdk11/src/jdk.hotspot.agent/share/classes/sun/jvm/hotspot/ui/treetable/JTreeTable.java,"JTreeTable.TreeTableCellRenderer.getTableCellRendererComponent(JTable, Object, boolean, boolean, int, int)",0.9999999999999998,0.1747572815533981
4,1616,commons-collections,repos/commons-collections/src/main/java/org/apache/commons/collections4/bidimap/TreeBidiMap.java,TreeBidiMap.clear(),30288,openjdk11,repos/openjdk11/src/java.base/share/classes/java/util/EnumMap.java,EnumMap.clear(),1.0,0.3125
5,14791,freemind,repos/freemind/freemind/accessories/plugins/time/JMonthChooser.java,JMonthChooser.setFont(Font),45091,openjdk11,repos/openjdk11/src/java.desktop/share/classes/javax/swing/JComponent.java,JComponent.setFont(Font),1.0,0.4375
6,46215,openjdk11,repos/openjdk11/src/java.desktop/share/classes/javax/swing/DefaultComboBoxModel.java,DefaultComboBoxModel.removeAllElements(),60057,trove,repos/trove/core/src/main/java/gnu/trove/list/linked/TLinkedList.java,TLinkedList.clear(),1.0,0.45945945945945943
7,17476,guava,repos/guava/guava-tests/benchmark/com/google/common/util/concurrent/MonitorBasedArrayBlockingQueue.java,MonitorBasedArrayBlockingQueue.remainingCapacity(),28543,openjdk11,repos/openjdk11/src/java.base/share/classes/java/util/concurrent/LinkedBlockingQueue.java,LinkedBlockingQueue.remainingCapacity(),0.9999999999999988,0.3142857142857143
8,214,caffeine,repos/caffeine/caffeine/src/jmh/java/com/github/benmanes/caffeine/cache/impl/ConcurrentHashMapV7.java,"ConcurrentHashMapV7.putIfAbsent(K, V)",29051,openjdk11,repos/openjdk11/src/java.base/share/classes/java/util/concurrent/ConcurrentSkipListMap.java,"ConcurrentSkipListMap.putIfAbsent(K, V)",1.0000000000000002,0.24742268041237114
9,15211,freemind,repos/freemind/pda/FmParser.java,"FmParser.startElement(int, AttributeList)",51809,openjdk11,repos/openjdk11/src/java.xml/share/classes/com/sun/org/apache/xalan/internal/xsltc/dom/SAXImpl.java,"SAXImpl.startElement(String, String, String, Attributes)",0.9079760555029996,0.17272727272727273
